Fecha,Total de operaciones enviadas
30/09/2019,1747
01/10/2019,1675
02/10/2019,1943
03/10/2019,1759
04/10/2019,1554
05/10/2019,786
06/10/2019,563
07/10/2019,1194
08/10/2019,1281
09/10/2019,1459
10/10/2019,1507
11/10/2019,1368
12/10/2019,757
13/10/2019,506
14/10/2019,1457
15/10/2019,1642
16/10/2019,1443
17/10/2019,1532
18/10/2019,1584
19/10/2019,662
20/10/2019,506
21/10/2019,992
22/10/2019,1094
23/10/2019,1160
24/10/2019,1462
25/10/2019,1389
26/10/2019,596
27/10/2019,432
28/10/2019,1012
29/10/2019,1435
30/10/2019,1851
31/10/2019,1701
01/11/2019,1661
02/11/2019,870
03/11/2019,893
04/11/2019,1663
05/11/2019,1622
06/11/2019,1637
07/11/2019,1970
08/11/2019,2138
09/11/2019,1020
10/11/2019,733
11/11/2019,1564
12/11/2019,1558
13/11/2019,1791
14/11/2019,2836
15/11/2019,1845
16/11/2019,1305
17/11/2019,975
18/11/2019,1044
19/11/2019,1736
20/11/2019,1825
21/11/2019,1878
22/11/2019,2193
23/11/2019,1085
24/11/2019,740
25/11/2019,1633
26/11/2019,1790
27/11/2019,2538
28/11/2019,2205
29/11/2019,2939
30/11/2019,1395
01/12/2019,962
02/12/2019,2233
03/12/2019,2547
04/12/2019,2397
05/12/2019,2986
06/12/2019,2509
07/12/2019,1048
08/12/2019,796
09/12/2019,2126
10/12/2019,2164
11/12/2019,2161
12/12/2019,1627
13/12/2019,2622
14/12/2019,3328
15/12/2019,1389
16/12/2019,2146
17/12/2019,2113
18/12/2019,1956
19/12/2019,2238
20/12/2019,2330
21/12/2019,1107
22/12/2019,818
23/12/2019,1454
24/12/2019,1101
25/12/2019,464
26/12/2019,1304
27/12/2019,1416
28/12/2019,2415
29/12/2019,2322
30/12/2019,1580
31/12/2019,1144
01/01/2020,576
02/01/2020,1564
03/01/2020,1879
04/01/2020,1116
05/01/2020,796
06/01/2020,1832
07/01/2020,1653
08/01/2020,1773
09/01/2020,1753
10/01/2020,2201
11/01/2020,944
12/01/2020,746
13/01/2020,1842
14/01/2020,2144
15/01/2020,3066
16/01/2020,2291
17/01/2020,2285
18/01/2020,1113
19/01/2020,727
20/01/2020,1659
21/01/2020,1687
22/01/2020,1685
23/01/2020,1674
24/01/2020,2003
25/01/2020,892
26/01/2020,689
27/01/2020,1672
28/01/2020,1902
29/01/2020,2057
30/01/2020,2838
31/01/2020,2930
01/02/2020,1337
02/02/2020,973
03/02/2020,1133
04/02/2020,2323
05/02/2020,1996
06/02/2020,2197
07/02/2020,2706
08/02/2020,1008
09/02/2020,660
10/02/2020,2059
11/02/2020,2127
12/02/2020,2175
13/02/2020,2652
14/02/2020,3833
15/02/2020,1497
16/02/2020,1083
17/02/2020,2423
18/02/2020,2370
19/02/2020,2421
20/02/2020,2494
21/02/2020,2787
22/02/2020,1199
23/02/2020,929
24/02/2020,2294
25/02/2020,2224
26/02/2020,2203
27/02/2020,2549
28/02/2020,3606
29/02/2020,1652
01/03/2020,1185
02/03/2020,2746
03/03/2020,2851
04/03/2020,3135
05/03/2020,3038
06/03/2020,3722
07/03/2020,1265
08/03/2020,901
09/03/2020,2104
10/03/2020,2754
11/03/2020,2849
12/03/2020,3187
13/03/2020,4401
14/03/2020,1609
15/03/2020,1106
16/03/2020,1179
17/03/2020,2401
18/03/2020,2212
19/03/2020,2249
20/03/2020,2988
21/03/2020,1211
22/03/2020,988
23/03/2020,2234
24/03/2020,1949
25/03/2020,1835
26/03/2020,2078
27/03/2020,2486
28/03/2020,1177
29/03/2020,1053
30/03/2020,2617
31/03/2020,2371
01/04/2020,2153
02/04/2020,2488
03/04/2020,2284
04/04/2020,1273
05/04/2020,986
06/04/2020,1826
07/04/2020,1774
08/04/2020,1558
09/04/2020,1371
10/04/2020,1089
11/04/2020,954
12/04/2020,925
13/04/2020,1625
14/04/2020,2058
15/04/2020,2172
16/04/2020,2033
17/04/2020,2187
18/04/2020,1452
19/04/2020,1010
20/04/2020,1680
21/04/2020,1619
22/04/2020,1511
23/04/2020,1630
24/04/2020,1932
25/04/2020,1330
26/04/2020,1065
27/04/2020,1658
28/04/2020,1841
29/04/2020,2266
30/04/2020,2427
01/05/2020,1976
02/05/2020,1589
03/05/2020,1304
04/05/2020,2244
05/05/2020,2021
06/05/2020,3626
07/05/2020,2077
08/05/2020,2388
09/05/2020,1666
10/05/2020,1210
11/05/2020,1986
12/05/2020,1998
13/05/2020,2022
14/05/2020,2573
15/05/2020,3178
16/05/2020,1986
17/05/2020,1338
18/05/2020,2249
19/05/2020,2076
20/05/2020,2096
21/05/2020,2097
22/05/2020,2575
23/05/2020,1577
24/05/2020,1376
25/05/2020,2219
26/05/2020,2178
27/05/2020,2094
28/05/2020,2736
29/05/2020,3371
30/05/2020,2039
31/05/2020,1823
01/06/2020,2796
02/06/2020,2444
03/06/2020,2479
04/06/2020,2541
05/06/2020,2915
06/06/2020,1983
07/06/2020,1422
08/06/2020,2264
09/06/2020,2256
10/06/2020,2172
11/06/2020,2516
12/06/2020,3127
13/06/2020,2175
14/06/2020,1773
15/06/2020,3229
16/06/2020,2777
17/06/2020,2459
18/06/2020,2545
19/06/2020,2766
20/06/2020,1868
21/06/2020,1270
22/06/2020,2235
23/06/2020,1980
24/06/2020,2187
25/06/2020,2360
26/06/2020,2943
27/06/2020,1805
28/06/2020,1434
29/06/2020,2729
30/06/2020,3253
01/07/2020,2881
02/07/2020,2925
03/07/2020,2999
04/07/2020,2393
05/07/2020,1514
06/07/2020,2600
07/07/2020,2245
08/07/2020,2360
09/07/2020,2475
10/07/2020,3288
11/07/2020,2105
12/07/2020,1524
13/07/2020,2829
14/07/2020,3180
15/07/2020,3744
16/07/2020,3356
17/07/2020,3362
18/07/2020,2139
19/07/2020,1786
20/07/2020,2871
21/07/2020,2689
22/07/2020,2866
23/07/2020,3238
24/07/2020,3273
25/07/2020,2028
26/07/2020,1725
27/07/2020,3056
28/07/2020,3052
29/07/2020,3069
30/07/2020,3830
31/07/2020,4116
01/08/2020,3035
02/08/2020,2110
03/08/2020,3276
04/08/2020,2931
05/08/2020,2988
06/08/2020,2903
07/08/2020,3365
08/08/2020,2501
09/08/2020,1719
10/08/2020,2781
11/08/2020,2667
12/08/2020,2705
13/08/2020,3153
14/08/2020,4322
15/08/2020,3023
16/08/2020,2186
17/08/2020,3100
18/08/2020,3192
19/08/2020,2914
20/08/2020,3114
21/08/2020,3638
22/08/2020,2442
23/08/2020,1900
24/08/2020,2759
25/08/2020,2840
26/08/2020,2876
27/08/2020,3268
28/08/2020,4265
29/08/2020,3115
30/08/2020,2117
31/08/2020,3667
01/09/2020,3500
02/09/2020,3261
03/09/2020,3346
04/09/2020,3761
05/09/2020,2411
06/09/2020,1872
07/09/2020,2983
08/09/2020,3053
09/09/2020,2889
10/09/2020,3200
11/09/2020,3607
12/09/2020,2663
13/09/2020,1887
14/09/2020,3404
15/09/2020,3951
16/09/2020,2161
17/09/2020,3491
18/09/2020,3456
19/09/2020,2558
20/09/2020,1843
21/09/2020,2918
22/09/2020,3062
23/09/2020,3108
24/09/2020,3248
25/09/2020,3787
26/09/2020,2648
27/09/2020,1993
28/09/2020,3636
29/09/2020,3840
30/09/2020,4296
01/10/2020,4117
02/10/2020,4531
03/10/2020,2740
04/10/2020,2125
05/10/2020,3718
06/10/2020,3373
07/10/2020,3200
08/10/2020,3647
09/10/2020,3855
10/10/2020,2263
11/10/2020,1793
12/10/2020,3409
13/10/2020,3595
14/10/2020,4137
15/10/2020,5007
16/10/2020,4829
17/10/2020,2584
18/10/2020,2026
19/10/2020,3683
20/10/2020,3689
21/10/2020,3584
22/10/2020,3903
23/10/2020,4357
24/10/2020,2393
25/10/2020,1771
26/10/2020,3723
27/10/2020,3636
28/10/2020,3787
29/10/2020,4420
30/10/2020,4966
31/10/2020,3367
01/11/2020,2303
02/11/2020,2782
03/11/2020,4123
04/11/2020,4071
05/11/2020,4572
06/11/2020,4403
07/11/2020,2637
08/11/2020,2004
09/11/2020,3899
10/11/2020,4011
11/11/2020,4123
12/11/2020,4475
13/11/2020,5156
14/11/2020,3595
15/11/2020,2529
16/11/2020,2786
17/11/2020,4587
18/11/2020,4310
19/11/2020,4558
20/11/2020,5503
21/11/2020,2817
22/11/2020,2168
23/11/2020,4214
24/11/2020,4181
25/11/2020,4285
26/11/2020,4461
27/11/2020,5841
28/11/2020,3228
29/11/2020,2691
30/11/2020,5238
01/12/2020,5640
02/12/2020,5931
03/12/2020,5965
04/12/2020,5616
05/12/2020,5575
06/12/2020,2811
07/12/2020,5188
08/12/2020,5334
09/12/2020,5132
10/12/2020,5735
11/12/2020,6030
12/12/2020,3638
13/12/2020,2937
14/12/2020,5972
15/12/2020,6929
16/12/2020,6414
17/12/2020,6138
18/12/2020,6446
19/12/2020,3599
20/12/2020,2737
21/12/2020,5755
22/12/2020,6004
23/12/2020,5977
24/12/2020,4440
25/12/2020,1429
26/12/2020,2330
27/12/2020,2024
28/12/2020,5177
29/12/2020,5879
30/12/2020,6137
31/12/2020,5527
01/01/2021,1759
02/01/2021,3029
03/01/2021,2526
04/01/2021,4773
05/01/2021,6125
06/01/2021,6119
07/01/2021,7071
08/01/2021,7360
09/01/2021,2895
10/01/2021,2163
11/01/2021,6075
12/01/2021,8805
13/01/2021,12305
14/01/2021,13458
15/01/2021,17491
