FOLIO,FECHA,ANIO,MES,K_GRUPO,GRUPO,K_EMPRESA,EMPRESA,CONCESIONARIO,L_PREPAGO_E,L_POSPAGO_E,L_POSPAGOC_E,L_POSPAGOL_E,L_NO_ESPECIFICADO_E,L_TOTAL_E
100418,15JAN2019,2019,01,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.","2,962",,,,,"2,962"
100418,15FEB2019,2019,02,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.","25,469",,,,,"25,469"
100418,15MAR2019,2019,03,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.","21,501",,,,,"21,501"
100418,15APR2019,2019,04,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.","12,020",,,,,"12,020"
100418,15MAY2019,2019,05,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.","12,020",,,,,"12,020"
100418,15JUN2019,2019,06,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.","12,020",,,,,"12,020"
100418,15JUL2019,2019,07,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,"1,833",,,"1,833"
100418,15AUG2019,2019,08,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,"1,682",,,"1,682"
100418,15SEP2019,2019,09,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,"1,541",,,"1,541"
100418,15OCT2019,2019,10,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,"1,294",,,"1,294"
100418,15NOV2019,2019,11,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",20,,"1,309",,,"1,329"
100418,15DEC2019,2019,12,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",257,,"3,870",,,"4,127"
